"Name","Team","BABIP","GB/FB","LD%","GB%","FB%","IFFB%","HR/FB","IFH","IFH%","BUH","BUH%","Pull%","Cent%","Oppo%","Soft%","Med%","Hard%","playerid"
"Alen Hanson","- - -",".268","1.51","15.9%","50.6%","33.5%","9.1%","7.3%","7","8.4%","2","40.0%","45.0%","32.0%","23.1%","26.6%","52.1%","21.3%","12926"
"Xander Bogaerts","BOS",".327","1.60","20.6%","48.9%","30.5%","13.7%","7.2%","26","11.7%","0","0.0%","40.8%","33.3%","25.9%","19.7%","48.9%","31.4%","12161"
"Logan Forsythe","LAD",".299","1.33","23.0%","44.0%","33.1%","4.7%","7.1%","6","5.3%","0","0.0%","30.0%","42.8%","27.2%","13.2%","50.2%","36.6%","7185"
"Jed Lowrie","OAK",".314","0.68","27.1%","29.4%","43.5%","7.4%","6.9%","3","2.2%","1","100.0%","35.5%","37.0%","27.4%","12.1%","53.4%","34.5%","4418"
"Christian Vazquez","BOS",".348","1.68","24.9%","47.1%","28.0%","4.1%","6.8%","3","2.4%","0","0.0%","29.1%","37.5%","33.3%","21.5%","52.1%","26.4%","9774"
"T.J. Rivera","NYM",".318","0.89","25.0%","35.3%","39.7%","9.6%","6.8%","3","4.6%","0","0.0%","43.8%","36.8%","19.5%","18.9%","51.4%","29.7%","12495"
"Ender Inciarte","ATL",".339","1.61","23.9%","47.0%","29.1%","8.1%","6.8%","17","6.5%","7","33.3%","30.3%","38.5%","31.2%","20.9%","57.0%","22.1%","4922"
"Darwin Barney","TOR",".270","1.43","20.7%","46.7%","32.6%","9.1%","6.8%","11","8.7%","1","12.5%","39.6%","30.2%","30.2%","21.6%","59.4%","19.1%","2430"
"Delino DeShields","TEX",".358","1.30","20.2%","45.1%","34.8%","10.2%","6.8%","19","16.7%","13","41.9%","39.4%","31.0%","29.6%","20.1%","56.0%","23.9%","11379"
"Johan Camargo","ATL",".364","1.54","21.5%","47.6%","30.9%","15.3%","6.8%","7","7.7%","0","0.0%","36.8%","38.9%","24.4%","20.2%","51.3%","28.5%","14950"
"Joe Mauer","MIN",".349","2.18","24.9%","51.5%","23.6%","2.9%","6.7%","10","4.4%","3","75.0%","24.7%","37.5%","37.8%","12.8%","50.8%","36.4%","1857"
"Dustin Pedroia","BOS",".315","1.69","22.4%","48.8%","28.8%","13.5%","6.7%","14","8.0%","0","0.0%","36.4%","38.0%","25.6%","20.1%","54.0%","25.9%","8370"
"Nori Aoki","- - -",".301","2.27","17.2%","57.4%","25.3%","4.0%","6.7%","10","5.9%","1","50.0%","26.8%","41.3%","31.9%","21.1%","55.4%","23.5%","13075"
"Alex Presley","DET",".383","1.93","31.1%","45.4%","23.5%","10.9%","6.5%","5","5.6%","0","0.0%","35.7%","37.7%","26.6%","18.6%","57.3%","24.1%","5305"
"Adam Frazier","PIT",".306","1.79","25.4%","47.9%","26.8%","3.2%","6.4%","9","5.4%","0","0.0%","32.3%","32.9%","34.8%","17.8%","54.7%","27.5%","15223"
"Joe Panik","SFG",".301","1.29","21.9%","44.0%","34.1%","7.6%","6.4%","14","6.9%","2","28.6%","36.1%","36.8%","27.1%","20.1%","53.8%","26.1%","11936"
"Freddy Galvis","PHI",".292","0.94","24.1%","36.7%","39.2%","9.9%","6.3%","14","7.8%","8","61.5%","36.6%","32.4%","31.0%","18.1%","56.5%","25.4%","6609"
"Andrew Romine","DET",".281","1.74","26.2%","46.8%","27.0%","10.3%","5.9%","7","5.9%","0","0.0%","33.3%","34.5%","32.2%","23.5%","47.1%","29.4%","1159"
"Bruce Maxwell","OAK",".316","1.47","20.3%","47.5%","32.3%","3.9%","5.9%","1","1.3%","0","0.0%","35.8%","35.8%","28.3%","17.0%","47.8%","35.2%","13866"
"JT Riddle","MIA",".300","1.88","18.3%","53.3%","28.3%","7.8%","5.9%","6","6.3%","1","20.0%","43.2%","29.2%","27.6%","22.2%","44.9%","33.0%","17642"
"Jonathan Lucroy","- - -",".286","1.91","18.6%","53.5%","27.9%","9.5%","5.7%","8","4.0%","0","0.0%","30.3%","38.8%","30.9%","20.5%","57.2%","22.3%","7870"
"Jose Iglesias","DET",".285","1.90","23.2%","50.4%","26.4%","15.2%","5.7%","12","6.0%","0","0.0%","37.3%","31.8%","30.8%","23.4%","48.3%","28.4%","10231"
"Rajai Davis","- - -",".297","1.33","18.7%","46.4%","34.9%","10.2%","5.7%","13","11.1%","1","33.3%","41.2%","31.8%","27.1%","20.4%","57.3%","22.4%","3708"
"Nick Markakis","ATL",".324","1.66","22.2%","48.6%","29.2%","9.9%","5.6%","10","4.2%","0","0.0%","33.3%","36.6%","30.0%","15.6%","51.2%","33.1%","5930"
"Dansby Swanson","ATL",".292","1.61","23.2%","47.4%","29.4%","6.4%","5.5%","14","8.0%","0","0.0%","42.5%","30.9%","26.6%","18.0%","52.7%","29.3%","18314"
